Month,Group ID,Our Transaction IDs,Bank Line IDs,Payment Reference,Cardinality,Our Amount,Bank Amount,Difference,Status,Days Old,Match Method,Comments
May 2026,MAY-G0045,TXNMAY00091,BLMAY00091,PRMAY19553585,"1:1 - one payment, one credit",22366.91,22366.91,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY19553585.
May 2026,MAY-G0046,TXNMAY00041,BLMAY00041,PRMAY20099059,"1:1 - one payment, one credit",85897.23,85897.23,0.0,Matched,8,Payment reference match,Bank narration shows reference PRMAY20099059.
May 2026,MAY-G0047,TXNMAY00169,BLMAY00169,PRMAY20356922,"1:1 - one payment, one credit",80259.59,80259.59,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY20356922.
May 2026,MAY-G0048,TXNMAY00178,BLMAY00178,PRMAY20633503,"1:1 - one payment, one credit",24498.79,24498.79,0.0,Matched,30,Payment reference match,Bank narration shows reference PRMAY20633503.
May 2026,MAY-G0049,TXNMAY00287,BLMAY00243,PRMAY20770971,"1:1 - one payment, one credit",12850.78,12850.78,0.0,Matched,10,Payment reference match,Bank narration shows reference PRMAY20770971.
May 2026,MAY-G0050,,BLMAY00244,,0:1 - credit with no payment,0.0,12850.78,-12850.78,Exception,9,Payment reference match,Reference PRMAY20770971 was already paid in full. This credit is a repeat.
May 2026,MAY-G0051,TXNMAY00166,BLMAY00166,PRMAY20939011,"1:1 - one payment, one credit",63127.25,63127.25,0.0,Matched,12,Payment reference match,Bank narration shows reference PRMAY20939011.
May 2026,MAY-G0052,TXNMAY00087,BLMAY00087,PRMAY21432787,"1:1 - one payment, one credit",11473.29,11473.29,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY21432787.
May 2026,MAY-G0053,TXNMAY00078,BLMAY00078,PRMAY21490777,"1:1 - one payment, one credit",68477.07,68477.07,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY21490777.
May 2026,MAY-G0054,TXNMAY00013,BLMAY00013,PRMAY22201654,"1:1 - one payment, one credit",4714.28,4714.28,0.0,Matched,6,Payment reference match,Bank narration shows reference PRMAY22201654.
May 2026,MAY-G0055,TXNMAY00094,BLMAY00094,PRMAY22257687,"1:1 - one payment, one credit",91391.08,91391.08,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY22257687.
May 2026,MAY-G0056,TXNMAY00141,BLMAY00141,PRMAY22960658,"1:1 - one payment, one credit",70250.92,70250.92,0.0,Matched,7,Payment reference match,Bank narration shows reference PRMAY22960658.
May 2026,MAY-G0057,TXNMAY00143,BLMAY00143,PRMAY23905032,"1:1 - one payment, one credit",48327.34,48327.34,0.0,Matched,12,Payment reference match,Bank narration shows reference PRMAY23905032.
May 2026,MAY-G0058,TXNMAY00155,BLMAY00155,PRMAY24208709,"1:1 - one payment, one credit",41530.35,41530.35,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY24208709.
May 2026,MAY-G0059,TXNMAY00056,BLMAY00056,PRMAY24305904,"1:1 - one payment, one credit",40532.6,40532.6,0.0,Matched,6,Payment reference match,Bank narration shows reference PRMAY24305904.
May 2026,MAY-G0060,TXNMAY00048,BLMAY00048,PRMAY24549543,"1:1 - one payment, one credit",41424.92,41424.92,0.0,Matched,11,Payment reference match,Bank narration shows reference PRMAY24549543.
May 2026,MAY-G0061,TXNMAY00026,BLMAY00026,PRMAY24665841,"1:1 - one payment, one credit",18403.16,18403.16,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY24665841.
May 2026,MAY-G0062,TXNMAY00015,BLMAY00015,PRMAY25374874,"1:1 - one payment, one credit",84083.71,84083.71,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY25374874.
May 2026,MAY-G0063,TXNMAY00144,BLMAY00144,PRMAY25419645,"1:1 - one payment, one credit",26644.34,26644.34,0.0,Matched,6,Payment reference match,Bank narration shows reference PRMAY25419645.
May 2026,MAY-G0064,TXNMAY00057,BLMAY00057,PRMAY26288475,"1:1 - one payment, one credit",12883.88,12883.88,0.0,Matched,16,Payment reference match,Bank narration shows reference PRMAY26288475.
May 2026,MAY-G0065,TXNMAY00100,BLMAY00100,PRMAY26297533,"1:1 - one payment, one credit",92455.66,92455.66,0.0,Matched,30,Payment reference match,Bank narration shows reference PRMAY26297533.
May 2026,MAY-G0066,TXNMAY00084,BLMAY00084,PRMAY26948946,"1:1 - one payment, one credit",82536.7,82536.7,0.0,Matched,10,Payment reference match,Bank narration shows reference PRMAY26948946.
May 2026,MAY-G0067,TXNMAY00065,BLMAY00065,PRMAY28213276,"1:1 - one payment, one credit",17468.83,17468.83,0.0,Matched,16,Payment reference match,Bank narration shows reference PRMAY28213276.
May 2026,MAY-G0068,TXNMAY00151,BLMAY00151,PRMAY28419343,"1:1 - one payment, one credit",24460.47,24460.47,0.0,Matched,6,Payment reference match,Bank narration shows reference PRMAY28419343.
May 2026,MAY-G0069,TXNMAY00177,BLMAY00177,PRMAY28468304,"1:1 - one payment, one credit",27431.82,27431.82,0.0,Matched,29,Payment reference match,Bank narration shows reference PRMAY28468304.
May 2026,MAY-G0070,TXNMAY00132,BLMAY00132,PRMAY29419691,"1:1 - one payment, one credit",51435.41,51435.41,0.0,Matched,26,Payment reference match,Bank narration shows reference PRMAY29419691.
May 2026,MAY-G0071,TXNMAY00060,BLMAY00060,PRMAY30244148,"1:1 - one payment, one credit",36542.59,36542.59,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY30244148.
May 2026,MAY-G0072,TXNMAY00090,BLMAY00090,PRMAY31009452,"1:1 - one payment, one credit",38957.04,38957.04,0.0,Matched,30,Payment reference match,Bank narration shows reference PRMAY31009452.
May 2026,MAY-G0073,TXNMAY00004,BLMAY00004,PRMAY31429110,"1:1 - one payment, one credit",40292.71,40292.71,0.0,Matched,8,Payment reference match,Bank narration shows reference PRMAY31429110.
May 2026,MAY-G0074,TXNMAY00009,BLMAY00009,PRMAY31931511,"1:1 - one payment, one credit",36203.4,36203.4,0.0,Matched,16,Payment reference match,Bank narration shows reference PRMAY31931511.
May 2026,MAY-G0075,TXNMAY00282,BLMAY00233,PRMAY32083803,"1:1 - one payment, one credit",81212.55,81212.55,0.0,Matched,17,Payment reference match,Bank narration shows reference PRMAY32083803.
May 2026,MAY-G0076,,BLMAY00234,,0:1 - credit with no payment,0.0,81212.55,-81212.55,Exception,16,Payment reference match,Reference PRMAY32083803 was already paid in full. This credit is a repeat.
May 2026,MAY-G0077,TXNMAY00028,BLMAY00028,PRMAY32321899,"1:1 - one payment, one credit",46264.5,46264.5,0.0,Matched,17,Payment reference match,Bank narration shows reference PRMAY32321899.
May 2026,MAY-G0078,TXNMAY00158,BLMAY00158,PRMAY33286644,"1:1 - one payment, one credit",14734.41,14734.41,0.0,Matched,11,Payment reference match,Bank narration shows reference PRMAY33286644.
May 2026,MAY-G0079,TXNMAY00113,BLMAY00113,PRMAY33497411,"1:1 - one payment, one credit",57999.35,57999.35,0.0,Matched,28,Payment reference match,Bank narration shows reference PRMAY33497411.
May 2026,MAY-G0080,TXNMAY00120,BLMAY00120,PRMAY33574011,"1:1 - one payment, one credit",12772.14,12772.14,0.0,Matched,24,Payment reference match,Bank narration shows reference PRMAY33574011.
May 2026,MAY-G0081,TXNMAY00152,BLMAY00152,PRMAY33581357,"1:1 - one payment, one credit",36274.66,36274.66,0.0,Matched,26,Payment reference match,Bank narration shows reference PRMAY33581357.
May 2026,MAY-G0082,TXNMAY00044,BLMAY00044,PRMAY33763566,"1:1 - one payment, one credit",2598.51,2598.51,0.0,Matched,17,Payment reference match,Bank narration shows reference PRMAY33763566.
May 2026,MAY-G0083,TXNMAY00083,BLMAY00083,PRMAY34084236,"1:1 - one payment, one credit",1590.56,1590.56,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY34084236.
May 2026,MAY-G0084,TXNMAY00145,BLMAY00145,PRMAY34215035,"1:1 - one payment, one credit",66830.71,66830.71,0.0,Matched,22,Payment reference match,Bank narration shows reference PRMAY34215035.
May 2026,MAY-G0085,TXNMAY00129,BLMAY00129,PRMAY35475673,"1:1 - one payment, one credit",90168.77,90168.77,0.0,Matched,27,Payment reference match,Bank narration shows reference PRMAY35475673.
May 2026,MAY-G0086,TXNMAY00030,BLMAY00030,PRMAY35487660,"1:1 - one payment, one credit",20877.16,20877.16,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY35487660.
May 2026,MAY-G0087,TXNMAY00116,BLMAY00116,PRMAY36738452,"1:1 - one payment, one credit",81103.53,81103.53,0.0,Matched,18,Payment reference match,Bank narration shows reference PRMAY36738452.
May 2026,MAY-G0088,TXNMAY00197,BLMAY00197,PRMAY36867482,"1:1 - one payment, one credit",13110.27,13110.27,0.0,Matched,27,Payment reference match,Bank narration shows reference PRMAY36867482.
May 2026,MAY-G0089,TXNMAY00063,BLMAY00063,PRMAY39450273,"1:1 - one payment, one credit",41545.46,41545.46,0.0,Matched,22,Payment reference match,Bank narration shows reference PRMAY39450273.
May 2026,MAY-G0090,TXNMAY00081,BLMAY00081,PRMAY40942292,"1:1 - one payment, one credit",68591.69,68591.69,0.0,Matched,27,Payment reference match,Bank narration shows reference PRMAY40942292.
May 2026,MAY-G0091,TXNMAY00054,BLMAY00054,PRMAY41523529,"1:1 - one payment, one credit",29662.24,29662.24,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY41523529.
May 2026,MAY-G0092,TXNMAY00128,BLMAY00128,PRMAY41690501,"1:1 - one payment, one credit",9663.85,9663.85,0.0,Matched,19,Payment reference match,Bank narration shows reference PRMAY41690501.
May 2026,MAY-G0093,TXNMAY00179,BLMAY00179,PRMAY41895531,"1:1 - one payment, one credit",11795.13,11795.13,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY41895531.
May 2026,MAY-G0094,TXNMAY00133,BLMAY00133,PRMAY41934639,"1:1 - one payment, one credit",30927.35,30927.35,0.0,Matched,12,Payment reference match,Bank narration shows reference PRMAY41934639.
May 2026,MAY-G0095,TXNMAY00023,BLMAY00023,PRMAY41944441,"1:1 - one payment, one credit",63635.64,63635.64,0.0,Matched,22,Payment reference match,Bank narration shows reference PRMAY41944441.
May 2026,MAY-G0096,TXNMAY00024,BLMAY00024,PRMAY42614537,"1:1 - one payment, one credit",76760.34,76760.34,0.0,Matched,15,Payment reference match,Bank narration shows reference PRMAY42614537.
May 2026,MAY-G0097,TXNMAY00075,BLMAY00075,PRMAY42949803,"1:1 - one payment, one credit",26678.45,26678.45,0.0,Matched,28,Payment reference match,Bank narration shows reference PRMAY42949803.
May 2026,MAY-G0098,TXNMAY00068,BLMAY00068,PRMAY43189803,"1:1 - one payment, one credit",79766.93,79766.93,0.0,Matched,24,Payment reference match,Bank narration shows reference PRMAY43189803.
May 2026,MAY-G0099,TXNMAY00027,BLMAY00027,PRMAY43528453,"1:1 - one payment, one credit",42236.64,42236.64,0.0,Matched,28,Payment reference match,Bank narration shows reference PRMAY43528453.
May 2026,MAY-G0100,TXNMAY00173,BLMAY00173,PRMAY43554863,"1:1 - one payment, one credit",61001.71,61001.71,0.0,Matched,29,Payment reference match,Bank narration shows reference PRMAY43554863.
May 2026,MAY-G0101,TXNMAY00038,BLMAY00038,PRMAY46553958,"1:1 - one payment, one credit",57557.63,57557.63,0.0,Matched,21,Payment reference match,Bank narration shows reference PRMAY46553958.
May 2026,MAY-G0102,TXNMAY00095,BLMAY00095,PRMAY47333543,"1:1 - one payment, one credit",94710.58,94710.58,0.0,Matched,25,Payment reference match,Bank narration shows reference PRMAY47333543.
May 2026,MAY-G0103,TXNMAY00174,BLMAY00174,PRMAY48260510,"1:1 - one payment, one credit",72555.32,72555.32,0.0,Matched,28,Payment reference match,Bank narration shows reference PRMAY48260510.
May 2026,MAY-G0104,TXNMAY00118,BLMAY00118,PRMAY48412328,"1:1 - one payment, one credit",75942.0,75942.0,0.0,Matched,6,Payment reference match,Bank narration shows reference PRMAY48412328.
May 2026,MAY-G0105,TXNMAY00286,BLMAY00241,PRMAY48532662,"1:1 - one payment, one credit",17303.23,17303.23,0.0,Matched,14,Payment reference match,Bank narration shows reference PRMAY48532662.
May 2026,MAY-G0106,,BLMAY00242,,0:1 - credit with no payment,0.0,17303.23,-17303.23,Exception,13,Payment reference match,Reference PRMAY48532662 was already paid in full. This credit is a repeat.
May 2026,MAY-G0107,TXNMAY00154,BLMAY00154,PRMAY48858073,"1:1 - one payment, one credit",38626.81,38626.81,0.0,Matched,27,Payment reference match,Bank narration shows reference PRMAY48858073.
May 2026,MAY-G0108,TXNMAY00051,BLMAY00051,PRMAY49682169,"1:1 - one payment, one credit",12310.52,12310.52,0.0,Matched,13,Payment reference match,Bank narration shows reference PRMAY49682169.
May 2026,MAY-G0109,TXNMAY00104,BLMAY00104,PRMAY50071487,"1:1 - one payment, one credit",55197.74,55197.74,0.0,Matched,12,Payment reference match,Bank narration shows reference PRMAY50071487.
May 2026,MAY-G0110,TXNMAY00298,BLMAY00247,PRMAY50332555,"1:1 - one payment, one credit",8352.67,7970.69,381.98,Partial Match,19,Payment reference match,Bank narration shows reference PRMAY50332555. Bank paid 381.98 less than our books.
May 2026,MAY-G0111,TXNMAY00042,BLMAY00042,PRMAY51373735,"1:1 - one payment, one credit",85428.5,85428.5,0.0,Matched,19,Payment reference match,Bank narration shows reference PRMAY51373735.
May 2026,MAY-G0112,TXNMAY00167,BLMAY00167,PRMAY51551377,"1:1 - one payment, one credit",35940.36,35940.36,0.0,Matched,13,Payment reference match,Bank narration shows reference PRMAY51551377.
May 2026,MAY-G0113,TXNMAY00186,BLMAY00186,PRMAY51617680,"1:1 - one payment, one credit",37981.73,37981.73,0.0,Matched,14,Payment reference match,Bank narration shows reference PRMAY51617680.
May 2026,MAY-G0114,TXNMAY00070,BLMAY00070,PRMAY51746937,"1:1 - one payment, one credit",55080.38,55080.38,0.0,Matched,27,Payment reference match,Bank narration shows reference PRMAY51746937.
May 2026,MAY-G0115,TXNMAY00010,BLMAY00010,PRMAY52339391,"1:1 - one payment, one credit",25618.45,25618.45,0.0,Matched,18,Payment reference match,Bank narration shows reference PRMAY52339391.
May 2026,MAY-G0116,TXNMAY00198,BLMAY00198,PRMAY52894344,"1:1 - one payment, one credit",33168.55,33168.55,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY52894344.
May 2026,MAY-G0117,TXNMAY00137,BLMAY00137,PRMAY53233116,"1:1 - one payment, one credit",14304.63,14304.63,0.0,Matched,11,Payment reference match,Bank narration shows reference PRMAY53233116.
May 2026,MAY-G0118,TXNMAY00018,BLMAY00018,PRMAY53507489,"1:1 - one payment, one credit",2095.42,2095.42,0.0,Matched,15,Payment reference match,Bank narration shows reference PRMAY53507489.
May 2026,MAY-G0119,TXNMAY00190,BLMAY00190,PRMAY54012664,"1:1 - one payment, one credit",28261.89,28261.89,0.0,Matched,9,Payment reference match,Bank narration shows reference PRMAY54012664.
May 2026,MAY-G0120,TXNMAY00105,BLMAY00105,PRMAY54619335,"1:1 - one payment, one credit",72532.19,72532.19,0.0,Matched,13,Payment reference match,Bank narration shows reference PRMAY54619335.
May 2026,MAY-G0121,TXNMAY00096,BLMAY00096,PRMAY54735895,"1:1 - one payment, one credit",63745.15,63745.15,0.0,Matched,20,Payment reference match,Bank narration shows reference PRMAY54735895.
May 2026,MAY-G0122,TXNMAY00066,BLMAY00066,PRMAY55298556,"1:1 - one payment, one credit",83595.89,83595.89,0.0,Matched,6,Payment reference match,Bank narration shows reference PRMAY55298556.
May 2026,MAY-G0123,TXNMAY00121,BLMAY00121,PRMAY55461591,"1:1 - one payment, one credit",44624.4,44624.4,0.0,Matched,27,Payment reference match,Bank narration shows reference PRMAY55461591.
May 2026,MAY-G0124,TXNMAY00139,BLMAY00139,PRMAY55490631,"1:1 - one payment, one credit",38029.68,38029.68,0.0,Matched,16,Payment reference match,Bank narration shows reference PRMAY55490631.
May 2026,MAY-G0125,TXNMAY00156,BLMAY00156,PRMAY55568701,"1:1 - one payment, one credit",31808.25,31808.25,0.0,Matched,23,Payment reference match,Bank narration shows reference PRMAY55568701.
May 2026,MAY-G0126,TXNMAY00077,BLMAY00077,PRMAY55679506,"1:1 - one payment, one credit",83660.32,83660.32,0.0,Matched,22,Payment reference match,Bank narration shows reference PRMAY55679506.
May 2026,MAY-G0127,TXNMAY00147,BLMAY00147,PRMAY55754284,"1:1 - one payment, one credit",35312.53,35312.53,0.0,Matched,25,Payment reference match,Bank narration shows reference PRMAY55754284.
May 2026,MAY-G0128,TXNMAY00163,BLMAY00163,PRMAY56095437,"1:1 - one payment, one credit",8240.19,8240.19,0.0,Matched,8,Payment reference match,Bank narration shows reference PRMAY56095437.
