txn_id,txn_date,channel,merchant_id,txn_type,amount,currency,payment_ref,batch_id,status
TXNMAY00171,2026-05-22,CARD,M1040,SALE,68430.74,INR,PRMAY58895439,,SUCCESS
TXNMAY00016,2026-05-01,NEFT,M1033,SALE,90624.06,INR,PRMAY70897765,,SUCCESS
TXNMAY00179,2026-05-10,IMPS,M1027,SALE,11795.13,INR,PRMAY41895531,,SUCCESS
TXNMAY00062,2026-05-01,NEFT,M1025,SALE,89574.77,INR,PRMAY74019136,,SUCCESS
TXNMAY00232,2026-05-21,IMPS,M1011,SALE,11665.12,INR,PRMAY24749927,BATCHMAY004,SUCCESS
TXNMAY00195,2026-05-09,UPI,M1002,SALE,23900.70,INR,PRMAY97182566,,SUCCESS
TXNMAY00013,2026-05-25,UPI,M1010,SALE,4714.28,INR,PRMAY22201654,,SUCCESS
TXNMAY00310,2026-05-29,NEFT,M1020,SALE,36317.70,INR,PRMAY53166435,,SUCCESS
TXNMAY00148,2026-05-02,NEFT,M1029,SALE,64108.54,INR,PRMAY92924837,,SUCCESS
TXNMAY00316,2026-05-30,NEFT,M1017,SALE,52423.38,INR,PRMAY42981324,,SUCCESS
TXNMAY00304,2026-05-27,NEFT,M1006,SALE,87630.92,INR,PRMAY54327148,,SUCCESS
TXNMAY00026,2026-05-08,CARD,M1009,SALE,18403.16,INR,PRMAY24665841,,SUCCESS
TXNMAY00308,2026-05-28,UPI,M1031,SALE,89045.89,INR,PRMAY12058055,,SUCCESS
TXNMAY00004,2026-05-23,NEFT,M1010,SALE,40292.71,INR,PRMAY31429110,,SUCCESS
TXNMAY00142,2026-05-04,CARD,M1004,SALE,39174.12,INR,PRMAY99927658,,SUCCESS
TXNMAY00282,2026-05-14,CARD,M1008,SALE,81212.55,INR,PRMAY32083803,,SUCCESS
TXNMAY00085,2026-05-15,UPI,M1017,SALE,32531.89,INR,PRMAY74251933,,SUCCESS
TXNMAY00186,2026-05-17,CARD,M1017,SALE,37981.73,INR,PRMAY51617680,,SUCCESS
TXNMAY00045,2026-05-02,IMPS,M1013,SALE,81601.71,INR,PRMAY61343880,,SUCCESS
TXNMAY00301,2026-05-30,IMPS,M1020,SALE,23081.74,INR,PRMAY34679818,,SUCCESS
TXNMAY00174,2026-05-03,NEFT,M1029,SALE,72555.32,INR,PRMAY48260510,,SUCCESS
TXNMAY00251,2026-05-09,IMPS,M1035,SALE,5227.93,INR,PRMAY99903592,BATCHMAY007,SUCCESS
TXNMAY00314,2026-05-29,CARD,M1019,SALE,52676.27,INR,PRMAY12176998,,SUCCESS
TXNMAY00257,2026-05-20,UPI,M1027,SALE,13219.83,INR,PRMAY41168067,BATCHMAY008,SUCCESS
TXNMAY00076,2026-05-16,IMPS,M1032,SALE,80877.78,INR,PRMAY13852048,,SUCCESS
TXNMAY00201,2026-05-17,NEFT,M1005,SALE,101533.16,INR,PRMAY63440127,,SUCCESS
TXNMAY00213,2026-05-12,UPI,M1002,SALE,6072.09,INR,PRMAY11097552,BATCHMAY001,SUCCESS
TXNMAY00127,2026-05-20,NEFT,M1003,SALE,38918.98,INR,PRMAY75679047,,SUCCESS
TXNMAY00119,2026-05-02,IMPS,M1006,SALE,55164.62,INR,PRMAY69166287,,SUCCESS
TXNMAY00143,2026-05-19,IMPS,M1031,SALE,48327.34,INR,PRMAY23905032,,SUCCESS
TXNMAY00010,2026-05-13,IMPS,M1037,SALE,25618.45,INR,PRMAY52339391,,SUCCESS
TXNMAY00012,2026-05-14,CARD,M1024,SALE,85318.72,INR,PRMAY88461803,,SUCCESS
TXNMAY00030,2026-05-10,UPI,M1038,SALE,20877.16,INR,PRMAY35487660,,SUCCESS
TXNMAY00128,2026-05-12,NEFT,M1035,SALE,9663.85,INR,PRMAY41690501,,SUCCESS
TXNMAY00057,2026-05-15,CARD,M1034,SALE,12883.88,INR,PRMAY26288475,,SUCCESS
TXNMAY00322,2026-05-11,CARD,M1032,SALE,60674.78,INR,PRMAY18113477,,SUCCESS
TXNMAY00258,2026-05-20,CARD,M1027,SALE,18307.98,INR,PRMAY33496796,BATCHMAY008,SUCCESS
TXNMAY00252,2026-05-09,UPI,M1035,SALE,12939.92,INR,PRMAY17045237,BATCHMAY007,SUCCESS
TXNMAY00203,2026-05-11,NEFT,M1009,SALE,60048.42,INR,PRMAY79645282,,SUCCESS
TXNMAY00270,2026-05-03,CARD,M1019,SALE,4103.23,INR,PRMAY28872606,BATCHMAY010,SUCCESS
TXNMAY00133,2026-05-19,IMPS,M1017,SALE,30927.35,INR,PRMAY41934639,,SUCCESS
TXNMAY00226,2026-05-22,NEFT,M1009,SALE,16407.10,INR,PRMAY59440148,BATCHMAY003,SUCCESS
TXNMAY00202,2026-05-18,NEFT,M1011,SALE,106511.26,INR,PRMAY68065043,,SUCCESS
TXNMAY00020,2026-05-20,IMPS,M1035,SALE,40342.32,INR,PRMAY80823176,,SUCCESS
TXNMAY00277,2026-05-19,CARD,M1010,SALE,13643.68,INR,PRMAY83717007,,SUCCESS
TXNMAY00247,2026-05-18,NEFT,M1031,SALE,1320.30,INR,PRMAY20607151,BATCHMAY006,SUCCESS
TXNMAY00163,2026-05-23,IMPS,M1003,SALE,8240.19,INR,PRMAY56095437,,SUCCESS
TXNMAY00273,2026-05-19,IMPS,M1016,SALE,9323.49,INR,PRMAY58258264,,SUCCESS
TXNMAY00097,2026-05-02,NEFT,M1017,SALE,43344.75,INR,PRMAY83832717,,SUCCESS
TXNMAY00149,2026-05-09,UPI,M1023,SALE,20675.16,INR,PRMAY65590800,,SUCCESS
TXNMAY00058,2026-05-15,CARD,M1029,SALE,85260.47,INR,PRMAY83534128,,SUCCESS
TXNMAY00254,2026-05-20,CARD,M1027,SALE,13231.41,INR,PRMAY73847325,BATCHMAY008,SUCCESS
TXNMAY00164,2026-05-17,NEFT,M1024,SALE,58029.06,INR,PRMAY80339290,,SUCCESS
TXNMAY00305,2026-05-28,CARD,M1039,SALE,5133.10,INR,PRMAY81891784,,SUCCESS
TXNMAY00015,2026-05-22,NEFT,M1022,SALE,84083.71,INR,PRMAY25374874,,SUCCESS
TXNMAY00038,2026-05-10,NEFT,M1014,SALE,57557.63,INR,PRMAY46553958,,SUCCESS
TXNMAY00018,2026-05-16,NEFT,M1020,SALE,2095.42,INR,PRMAY53507489,,SUCCESS
TXNMAY00024,2026-05-16,IMPS,M1007,SALE,76760.34,INR,PRMAY42614537,,SUCCESS
TXNMAY00178,2026-05-01,IMPS,M1036,SALE,24498.79,INR,PRMAY20633503,,SUCCESS
TXNMAY00125,2026-05-10,UPI,M1007,SALE,94614.12,INR,PRMAY14994527,,SUCCESS
TXNMAY00260,2026-05-15,UPI,M1012,SALE,680.71,INR,PRMAY86230551,BATCHMAY009,SUCCESS
TXNMAY00099,2026-05-15,IMPS,M1018,SALE,72259.10,INR,PRMAY93940940,,SUCCESS
TXNMAY00239,2026-05-20,NEFT,M1031,SALE,11152.33,INR,PRMAY96343485,BATCHMAY005,SUCCESS
TXNMAY00096,2026-05-11,IMPS,M1022,SALE,63745.15,INR,PRMAY54735895,,SUCCESS
TXNMAY00175,2026-05-12,CARD,M1004,SALE,88412.22,INR,PRMAY70549373,,SUCCESS
TXNMAY00037,2026-05-21,NEFT,M1007,SALE,50367.13,INR,PRMAY92097999,,SUCCESS
TXNMAY00276,2026-05-19,NEFT,M1016,REFUND,-2735.49,INR,PRMAY49599276,,SUCCESS
TXNMAY00246,2026-05-18,NEFT,M1031,SALE,19114.87,INR,PRMAY29659692,BATCHMAY006,SUCCESS
TXNMAY00140,2026-05-05,CARD,M1005,SALE,65326.29,INR,PRMAY60237832,,SUCCESS
TXNMAY00150,2026-05-08,UPI,M1001,SALE,37701.21,INR,PRMAY16095815,,SUCCESS
TXNMAY00103,2026-05-07,IMPS,M1005,SALE,87597.01,INR,PRMAY61484043,,SUCCESS
TXNMAY00098,2026-05-18,UPI,M1013,SALE,44022.26,INR,PRMAY98269682,,SUCCESS
TXNMAY00253,2026-05-09,UPI,M1035,SALE,8559.38,INR,PRMAY73404979,BATCHMAY007,SUCCESS
TXNMAY00287,2026-05-21,NEFT,M1008,SALE,12850.78,INR,PRMAY20770971,,SUCCESS
TXNMAY00284,2026-05-13,CARD,M1017,SALE,68780.79,INR,PRMAY72059365,,SUCCESS
TXNMAY00055,2026-05-21,CARD,M1032,SALE,54794.82,INR,PRMAY65625330,,SUCCESS
TXNMAY00275,2026-05-19,NEFT,M1016,SALE,10590.58,INR,PRMAY64414096,,SUCCESS
TXNMAY00240,2026-05-20,IMPS,M1031,SALE,12396.49,INR,PRMAY35805259,BATCHMAY005,SUCCESS
TXNMAY00029,2026-05-09,CARD,M1019,SALE,88037.59,INR,PRMAY62401521,,SUCCESS
TXNMAY00049,2026-05-23,IMPS,M1024,SALE,41566.45,INR,PRMAY15957459,,SUCCESS
TXNMAY00107,2026-05-19,UPI,M1029,SALE,31706.50,INR,PRMAY77416376,,SUCCESS
TXNMAY00283,2026-05-18,CARD,M1009,SALE,76873.57,INR,PRMAY78501420,,SUCCESS
TXNMAY00083,2026-05-10,IMPS,M1018,SALE,1590.56,INR,PRMAY34084236,,SUCCESS
TXNMAY00095,2026-05-06,CARD,M1032,SALE,94710.58,INR,PRMAY47333543,,SUCCESS
TXNMAY00176,2026-05-03,UPI,M1021,SALE,35772.98,INR,PRMAY61830338,,SUCCESS
TXNMAY00212,2026-05-12,CARD,M1002,SALE,12151.62,INR,PRMAY97813295,BATCHMAY001,SUCCESS
TXNMAY00032,2026-05-22,CARD,M1008,SALE,81907.37,INR,PRMAY19121552,,SUCCESS
TXNMAY00289,2026-05-03,CARD,M1035,REVERSAL,-30491.00,INR,PRMAY39888974,,SUCCESS
TXNMAY00056,2026-05-25,IMPS,M1034,SALE,40532.60,INR,PRMAY24305904,,SUCCESS
TXNMAY00072,2026-05-02,CARD,M1024,SALE,33147.56,INR,PRMAY85958181,,SUCCESS
TXNMAY00113,2026-05-03,CARD,M1040,SALE,57999.35,INR,PRMAY33497411,,SUCCESS
TXNMAY00053,2026-05-15,CARD,M1011,SALE,64265.68,INR,PRMAY69295515,,SUCCESS
TXNMAY00207,2026-05-18,NEFT,M1029,SALE,65529.27,INR,PRMAY59733063,,SUCCESS
TXNMAY00223,2026-05-22,NEFT,M1009,SALE,3668.79,INR,PRMAY92745294,BATCHMAY003,SUCCESS
TXNMAY00071,2026-05-23,IMPS,M1007,SALE,78946.66,INR,PRMAY89470029,,SUCCESS
TXNMAY00002,2026-05-03,UPI,M1002,SALE,56199.17,INR,PRMAY83197857,,SUCCESS
TXNMAY00060,2026-05-08,IMPS,M1014,SALE,36542.59,INR,PRMAY30244148,,SUCCESS
TXNMAY00241,2026-05-20,IMPS,M1031,SALE,5940.62,INR,PRMAY50063879,BATCHMAY005,SUCCESS
TXNMAY00286,2026-05-17,IMPS,M1027,SALE,17303.23,INR,PRMAY48532662,,SUCCESS
TXNMAY00136,2026-05-13,UPI,M1032,SALE,40639.43,INR,PRMAY74287863,,SUCCESS
TXNMAY00306,2026-05-27,IMPS,M1038,SALE,83025.54,INR,PRMAY90922827,,SUCCESS
TXNMAY00123,2026-05-12,IMPS,M1031,SALE,10515.79,INR,PRMAY95704631,,SUCCESS
TXNMAY00126,2026-05-12,CARD,M1038,SALE,63778.57,INR,PRMAY70887034,,SUCCESS
TXNMAY00321,2026-05-02,CARD,M1024,SALE,20973.69,INR,PRMAY30270856,,SUCCESS
TXNMAY00158,2026-05-20,UPI,M1012,SALE,14734.41,INR,PRMAY33286644,,SUCCESS
TXNMAY00312,2026-05-30,NEFT,M1014,SALE,72414.34,INR,PRMAY23234972,,SUCCESS
TXNMAY00074,2026-05-06,NEFT,M1040,SALE,69777.11,INR,PRMAY68450095,,SUCCESS
TXNMAY00156,2026-05-08,IMPS,M1005,SALE,31808.25,INR,PRMAY55568701,,SUCCESS
TXNMAY00325,2026-05-15,CARD,M1012,SALE,66372.15,INR,PRMAY77406294,,SUCCESS
TXNMAY00227,2026-05-22,NEFT,M1009,SALE,13639.22,INR,PRMAY65907088,BATCHMAY003,SUCCESS
TXNMAY00001,2026-05-04,NEFT,M1016,SALE,2619.77,INR,PRMAY95822412,,SUCCESS
TXNMAY00003,2026-05-07,CARD,M1015,SALE,68092.86,INR,PRMAY85329037,,SUCCESS
TXNMAY00078,2026-05-08,CARD,M1036,SALE,68477.07,INR,PRMAY21490777,,SUCCESS
TXNMAY00193,2026-05-08,NEFT,M1024,SALE,74014.33,INR,PRMAY19023909,,SUCCESS
TXNMAY00067,2026-05-02,NEFT,M1015,SALE,94991.27,INR,PRMAY82399599,,SUCCESS
TXNMAY00225,2026-05-22,CARD,M1009,SALE,14320.43,INR,PRMAY50237208,BATCHMAY003,SUCCESS
TXNMAY00094,2026-05-08,UPI,M1018,SALE,91391.08,INR,PRMAY22257687,,SUCCESS
TXNMAY00079,2026-05-03,CARD,M1016,SALE,28128.82,INR,PRMAY12314351,,SUCCESS
TXNMAY00169,2026-05-10,UPI,M1033,SALE,80259.59,INR,PRMAY20356922,,SUCCESS
TXNMAY00023,2026-05-09,IMPS,M1035,SALE,63635.64,INR,PRMAY41944441,,SUCCESS
TXNMAY00188,2026-05-11,CARD,M1032,SALE,92510.31,INR,PRMAY61894582,,SUCCESS
TXNMAY00267,2026-05-03,CARD,M1019,SALE,12413.61,INR,PRMAY95728324,BATCHMAY010,SUCCESS
TXNMAY00124,2026-05-08,CARD,M1020,SALE,61615.06,INR,PRMAY91883846,,SUCCESS
TXNMAY00089,2026-05-07,UPI,M1011,SALE,25325.22,INR,PRMAY93955206,,SUCCESS
TXNMAY00189,2026-05-03,IMPS,M1035,SALE,41050.03,INR,PRMAY66975380,,SUCCESS
TXNMAY00137,2026-05-20,IMPS,M1018,SALE,14304.63,INR,PRMAY53233116,,SUCCESS
TXNMAY00181,2026-05-08,IMPS,M1006,SALE,54320.39,INR,PRMAY57354167,,SUCCESS
TXNMAY00112,2026-05-10,CARD,M1010,SALE,34214.40,INR,PRMAY17532195,,SUCCESS
TXNMAY00145,2026-05-09,NEFT,M1022,SALE,66830.71,INR,PRMAY34215035,,SUCCESS
TXNMAY00255,2026-05-20,NEFT,M1027,SALE,13185.50,INR,PRMAY48553376,BATCHMAY008,SUCCESS
TXNMAY00117,2026-05-22,UPI,M1037,SALE,37752.59,INR,PRMAY12944682,,SUCCESS
TXNMAY00153,2026-05-01,UPI,M1021,SALE,43811.72,INR,PRMAY68548403,,SUCCESS
TXNMAY00152,2026-05-05,IMPS,M1033,SALE,36274.66,INR,PRMAY33581357,,SUCCESS
TXNMAY00046,2026-05-22,NEFT,M1018,SALE,18549.05,INR,PRMAY13176186,,SUCCESS
TXNMAY00281,2026-05-19,UPI,M1010,REFUND,-3710.36,INR,PRMAY25060409,,SUCCESS
TXNMAY00035,2026-05-19,UPI,M1035,SALE,94630.14,INR,PRMAY93370583,,SUCCESS
TXNMAY00278,2026-05-19,IMPS,M1010,SALE,23205.81,INR,PRMAY99133246,,SUCCESS
TXNMAY00290,2026-05-10,NEFT,M1010,SALE,10652.97,INR,PRMAY60905625,,SUCCESS
TXNMAY00235,2026-05-21,CARD,M1011,SALE,10285.48,INR,PRMAY92071195,BATCHMAY004,SUCCESS
TXNMAY00313,2026-05-29,IMPS,M1010,SALE,39469.88,INR,PRMAY59755172,,SUCCESS
TXNMAY00120,2026-05-07,NEFT,M1034,SALE,12772.14,INR,PRMAY33574011,,SUCCESS
TXNMAY00205,2026-05-20,UPI,M1032,SALE,92090.40,INR,PRMAY96094462,,SUCCESS
TXNMAY00318,2026-05-30,UPI,M1034,SALE,17688.53,INR,PRMAY28784915,,SUCCESS
TXNMAY00092,2026-05-06,NEFT,M1029,SALE,75351.56,INR,PRMAY18004482,,SUCCESS
TXNMAY00217,2026-05-20,UPI,M1005,SALE,16593.57,INR,PRMAY93650068,BATCHMAY002,SUCCESS
TXNMAY00009,2026-05-15,IMPS,M1021,SALE,36203.40,INR,PRMAY31931511,,SUCCESS
TXNMAY00008,2026-05-12,NEFT,M1014,SALE,15661.48,INR,PRMAY95320121,,SUCCESS
TXNMAY00044,2026-05-14,NEFT,M1027,SALE,2598.51,INR,PRMAY33763566,,SUCCESS
TXNMAY00199,2026-05-06,IMPS,M1008,SALE,75452.73,INR,PRMAY95590648,,SUCCESS
TXNMAY00034,2026-05-05,NEFT,M1030,SALE,63892.65,INR,PRMAY63121477,,SUCCESS
TXNMAY00220,2026-05-20,CARD,M1005,SALE,15221.82,INR,PRMAY36717096,BATCHMAY002,SUCCESS
TXNMAY00161,2026-05-10,UPI,M1040,SALE,7520.26,INR,PRMAY59491122,,SUCCESS
TXNMAY00299,2026-05-29,CARD,M1034,SALE,89465.31,INR,PRMAY16292676,,SUCCESS
TXNMAY00073,2026-05-14,UPI,M1028,SALE,78165.85,INR,PRMAY11698142,,SUCCESS
TXNMAY00064,2026-05-05,UPI,M1026,SALE,93173.41,INR,PRMAY72732043,,SUCCESS
TXNMAY00245,2026-05-18,NEFT,M1031,SALE,17967.33,INR,PRMAY62953249,BATCHMAY006,SUCCESS
TXNMAY00080,2026-05-17,NEFT,M1023,SALE,32821.01,INR,PRMAY84285882,,SUCCESS
TXNMAY00100,2026-05-01,IMPS,M1011,SALE,92455.66,INR,PRMAY26297533,,SUCCESS
TXNMAY00242,2026-05-20,NEFT,M1031,SALE,18858.97,INR,PRMAY49945150,BATCHMAY005,SUCCESS
TXNMAY00197,2026-05-04,UPI,M1029,SALE,13110.27,INR,PRMAY36867482,,SUCCESS
TXNMAY00040,2026-05-09,CARD,M1036,SALE,15559.89,INR,PRMAY95511909,,SUCCESS
TXNMAY00159,2026-05-11,UPI,M1031,SALE,14553.21,INR,PRMAY94183695,,SUCCESS
TXNMAY00317,2026-05-30,NEFT,M1011,SALE,43913.55,INR,PRMAY75581613,,SUCCESS
TXNMAY00208,2026-05-14,NEFT,M1037,SALE,59861.62,INR,PRMAY48951595,,SUCCESS
TXNMAY00022,2026-05-23,IMPS,M1005,SALE,60047.01,INR,PRMAY19528530,,SUCCESS
TXNMAY00266,2026-05-03,IMPS,M1019,SALE,11571.73,INR,PRMAY35925669,BATCHMAY010,SUCCESS
TXNMAY00135,2026-05-17,UPI,M1034,SALE,21241.84,INR,PRMAY70667140,,SUCCESS
TXNMAY00209,2026-05-12,CARD,M1002,SALE,2255.96,INR,PRMAY62780072,BATCHMAY001,SUCCESS
TXNMAY00198,2026-05-22,UPI,M1036,SALE,33168.55,INR,PRMAY52894344,,SUCCESS
TXNMAY00007,2026-05-08,UPI,M1015,SALE,73498.23,INR,PRMAY98753260,,SUCCESS
TXNMAY00014,2026-05-13,CARD,M1034,SALE,56710.43,INR,PRMAY61642594,,SUCCESS
TXNMAY00141,2026-05-24,IMPS,M1036,SALE,70250.92,INR,PRMAY22960658,,SUCCESS
TXNMAY00122,2026-05-01,UPI,M1030,SALE,25307.45,INR,PRMAY62958901,,SUCCESS
TXNMAY00017,2026-05-10,IMPS,M1010,SALE,79998.17,INR,PRMAY93926371,,SUCCESS
TXNMAY00292,2026-05-04,CARD,M1040,SALE,32569.65,INR,PRMAY25145751,,SUCCESS
TXNMAY00027,2026-05-03,UPI,M1004,SALE,42236.64,INR,PRMAY43528453,,SUCCESS
TXNMAY00236,2026-05-21,IMPS,M1011,SALE,17519.95,INR,PRMAY18359252,BATCHMAY004,SUCCESS
TXNMAY00224,2026-05-22,CARD,M1009,SALE,12077.63,INR,PRMAY78090664,BATCHMAY003,SUCCESS
TXNMAY00054,2026-05-22,IMPS,M1010,SALE,29662.24,INR,PRMAY41523529,,SUCCESS
TXNMAY00248,2026-05-18,NEFT,M1031,SALE,18518.19,INR,PRMAY98043078,BATCHMAY006,SUCCESS
TXNMAY00264,2026-05-15,NEFT,M1012,SALE,5820.32,INR,PRMAY25119192,BATCHMAY009,SUCCESS
TXNMAY00272,2026-05-19,UPI,M1016,SALE,28712.98,INR,PRMAY50526484,,SUCCESS
TXNMAY00324,2026-05-10,NEFT,M1002,SALE,68677.76,INR,PRMAY12244945,,SUCCESS
TXNMAY00065,2026-05-15,NEFT,M1025,SALE,17468.83,INR,PRMAY28213276,,SUCCESS
TXNMAY00170,2026-05-13,IMPS,M1040,SALE,14865.45,INR,PRMAY90161060,,SUCCESS
TXNMAY00061,2026-05-15,IMPS,M1027,SALE,39644.61,INR,PRMAY82828034,,SUCCESS
TXNMAY00323,2026-05-02,CARD,M1001,SALE,50677.13,INR,PRMAY12111482,,SUCCESS
TXNMAY00033,2026-05-03,NEFT,M1017,SALE,39971.56,INR,PRMAY93131979,,SUCCESS
TXNMAY00006,2026-05-04,CARD,M1006,SALE,92452.72,INR,PRMAY81971316,,SUCCESS
TXNMAY00219,2026-05-20,NEFT,M1005,SALE,7777.37,INR,PRMAY55511258,BATCHMAY002,SUCCESS
TXNMAY00048,2026-05-20,NEFT,M1028,SALE,41424.92,INR,PRMAY24549543,,SUCCESS
TXNMAY00043,2026-05-25,CARD,M1040,SALE,53298.96,INR,PRMAY57469942,,SUCCESS
TXNMAY00106,2026-05-02,CARD,M1025,SALE,30397.21,INR,PRMAY65133300,,SUCCESS
TXNMAY00116,2026-05-13,UPI,M1016,SALE,81103.53,INR,PRMAY36738452,,SUCCESS
TXNMAY00280,2026-05-19,NEFT,M1010,SALE,16714.19,INR,PRMAY80890196,,SUCCESS
TXNMAY00151,2026-05-25,NEFT,M1008,SALE,24460.47,INR,PRMAY28419343,,SUCCESS
TXNMAY00192,2026-05-13,IMPS,M1002,SALE,34673.73,INR,PRMAY95565484,,SUCCESS
TXNMAY00319,2026-05-27,UPI,M1001,SALE,89806.57,INR,PRMAY14539747,,SUCCESS
TXNMAY00221,2026-05-20,UPI,M1005,SALE,10251.52,INR,PRMAY16080513,BATCHMAY002,SUCCESS
TXNMAY00200,2026-05-18,CARD,M1036,SALE,54473.28,INR,PRMAY58438711,,SUCCESS
TXNMAY00114,2026-05-21,NEFT,M1001,SALE,24314.35,INR,PRMAY71894493,,SUCCESS
TXNMAY00228,2026-05-22,UPI,M1009,SALE,16036.72,INR,PRMAY94457912,BATCHMAY003,SUCCESS
TXNMAY00070,2026-05-04,NEFT,M1037,SALE,55080.38,INR,PRMAY51746937,,SUCCESS
TXNMAY00271,2026-05-03,UPI,M1019,SALE,6810.23,INR,PRMAY43292316,BATCHMAY010,SUCCESS
TXNMAY00166,2026-05-19,NEFT,M1020,SALE,63127.25,INR,PRMAY20939011,,SUCCESS
TXNMAY00155,2026-05-08,CARD,M1034,SALE,41530.35,INR,PRMAY24208709,,SUCCESS
TXNMAY00300,2026-05-30,NEFT,M1025,SALE,38932.56,INR,PRMAY52779814,,SUCCESS
TXNMAY00268,2026-05-03,NEFT,M1019,SALE,16626.30,INR,PRMAY79159799,BATCHMAY010,SUCCESS
TXNMAY00259,2026-05-15,UPI,M1012,SALE,18763.87,INR,PRMAY48851599,BATCHMAY009,SUCCESS
TXNMAY00168,2026-05-12,IMPS,M1022,SALE,29515.06,INR,PRMAY12446861,,SUCCESS
TXNMAY00082,2026-05-25,NEFT,M1007,SALE,49959.34,INR,PRMAY89133014,,SUCCESS
TXNMAY00081,2026-05-04,NEFT,M1008,SALE,68591.69,INR,PRMAY40942292,,SUCCESS
TXNMAY00059,2026-05-03,IMPS,M1018,SALE,67858.38,INR,PRMAY69038700,,SUCCESS
TXNMAY00088,2026-05-10,CARD,M1020,SALE,81750.79,INR,PRMAY69421007,,SUCCESS
TXNMAY00042,2026-05-12,UPI,M1023,SALE,85428.50,INR,PRMAY51373735,,SUCCESS
TXNMAY00021,2026-05-15,IMPS,M1005,SALE,11715.15,INR,PRMAY79467853,,SUCCESS
TXNMAY00019,2026-05-03,IMPS,M1009,SALE,92914.03,INR,PRMAY75228535,,SUCCESS
TXNMAY00233,2026-05-21,CARD,M1011,SALE,869.28,INR,PRMAY52103092,BATCHMAY004,SUCCESS
TXNMAY00327,2026-05-10,NEFT,M1018,SALE,24166.62,INR,PRMAY93185576,,SUCCESS
TXNMAY00104,2026-05-19,CARD,M1010,SALE,55197.74,INR,PRMAY50071487,,SUCCESS
