line_id,value_date,narration,dr_cr,amount,bank_ref
BLJUN00361,2026-06-09,UPI/SETTLE/PRJUN85579195/M1012,CR,79527.03,UTR3106408413
BLJUN00295,2026-06-16,UPI/SETTLE/PRJUN57242616/M1009,CR,58745.11,UTR2345122542
BLJUN00371,2026-06-26,UPI/SETTLE/PRJUN68816911/M1025,CR,40012.14,UTR2612105539
BLJUN00326,2026-06-24,UPI/SETTLE/PRJUN66851305/M1020,CR,38365.78,UTR9929329605
BLJUN00330,2026-06-18,UPI/SETTLE/PRJUN31989243/M1009,CR,90548.29,UTR9046449694
BLJUN00447,2026-06-23,SETTLE/prjun84300459/PAYOUT,CR,20843.21,UTR8030335064
BLJUN00485,2026-06-21,NET SETTLEMENT M1014 2026-06-19 2/2,CR,32470.30,UTR1413599241
BLJUN00327,2026-06-06,UPI/SETTLE/PRJUN37272705/M1020,CR,51072.97,UTR8295757364
BLJUN00301,2026-06-04,UPI/SETTLE/PRJUN49203644/M1037,CR,26292.31,UTR8584566722
BLJUN00265,2026-06-03,SETTLEMENT PRMAY45106207 PREV CYCLE,CR,48839.37,UTR4427620889
BLJUN00414,2026-06-21,UPI/SETTLE/PRJUN77556678/M1019,CR,29254.40,UTR7546035453
BLJUN00449,2026-06-02,SETTLE/prjun24290224/PAYOUT,CR,36337.46,UTR2076151332
BLJUN00352,2026-06-05,UPI/SETTLE/PRJUN54499873/M1037,CR,4295.48,UTR8406374110
BLJUN00395,2026-06-10,UPI/SETTLE/PRJUN14102122/M1038,CR,35541.23,UTR7662927609
BLJUN00479,2026-06-23,SETTLEMENT BATCHJUN004,CR,44009.00,UTR3846182436
BLJUN00471,2026-06-12,PART SETTLEMENT PRJUN48901209-P1,CR,30344.02,UTR5427334554
BLJUN00354,2026-06-10,UPI/SETTLE/PRJUN46907428/M1019,CR,42509.58,UTR7437690455
BLJUN00461,2026-06-16,PART SETTLEMENT PRJUN53075436-P2,CR,41951.72,UTR5483308751
BLJUN00385,2026-06-05,UPI/SETTLE/PRJUN18994192/M1018,CR,37022.39,UTR7527011028
BLJUN00315,2026-06-15,UPI/SETTLE/PRJUN41426254/M1031,CR,62357.23,UTR1334744286
BLJUN00473,2026-06-20,PART SETTLEMENT PRJUN62478133-P1,CR,38409.14,UTR3384006407
BLJUN00369,2026-06-14,UPI/SETTLE/PRJUN41943272/M1029,CR,93330.47,UTR5343911135
BLJUN00368,2026-06-09,UPI/SETTLE/PRJUN92058189/M1022,CR,60856.53,UTR4201225242
BLJUN00280,2026-06-13,UPI/SETTLE/PRJUN50323741/M1012,CR,57404.27,UTR9437783771
BLJUN00386,2026-06-25,UPI/SETTLE/PRJUN11659440/M1010,CR,59284.74,UTR5035765954
BLJUN00262,2026-06-03,SETTLEMENT PRMAY12058055 PREV CYCLE,CR,89045.89,UTR7230065637
BLJUN00454,2026-06-16,SETTLE/NEFTPRJUN49483865/PAYOUT,CR,17061.10,UTR2620054076
BLJUN00433,2026-06-07,UPI/SETTLE/PRJUN96355513/M1005,CR,48152.53,UTR8522334580
BLJUN00417,2026-06-14,UPI/SETTLE/PRJUN26530521/M1035,CR,67627.68,UTR3676343517
BLJUN00387,2026-06-21,UPI/SETTLE/PRJUN24178065/M1027,CR,74111.86,UTR6429425484
BLJUN00390,2026-06-25,UPI/SETTLE/PRJUN16615722/M1022,CR,45276.92,UTR6596578419
BLJUN00405,2026-06-23,UPI/SETTLE/PRJUN32815223/M1031,CR,83297.88,UTR1383539822
BLJUN00399,2026-06-14,UPI/SETTLE/PRJUN66882385/M1030,CR,80937.79,UTR7973335079
BLJUN00492,2026-06-08,UPI/SETTLE/PRJUN58623028,CR,14915.27,UTR4242579642
BLJUN00409,2026-06-25,UPI/SETTLE/PRJUN52464268/M1012,CR,17338.80,UTR1249166485
BLJUN00353,2026-06-03,UPI/SETTLE/PRJUN76588957/M1014,CR,36513.61,UTR4901136913
BLJUN00333,2026-06-07,UPI/SETTLE/PRJUN59350218/M1015,CR,24422.25,UTR1011031667
BLJUN00437,2026-06-20,UPI/SETTLE/PRJUN84776858/M1033,CR,266.08,UTR3415200001
BLJUN00350,2026-06-03,UPI/SETTLE/PRJUN11604831/M1026,CR,78927.78,UTR3768901084
BLJUN00464,2026-06-11,PART SETTLEMENT PRJUN97446634-P3,CR,27591.24,UTR9899689747
BLJUN00441,2026-06-25,SETTLE/PRJUN288507/PAYOUT,CR,70602.91,UTR1805492785
BLJUN00408,2026-06-11,UPI/SETTLE/PRJUN81113720/M1022,CR,39391.91,UTR2965254350
BLJUN00263,2026-06-02,SETTLEMENT PRMAY42560305 PREV CYCLE,CR,37830.89,UTR9337145038
BLJUN00451,2026-06-22,SETTLE/PRJUN237546/PAYOUT,CR,82496.35,UTR8284816444
BLJUN00356,2026-06-20,UPI/SETTLE/PRJUN94658420/M1035,CR,75561.68,UTR8651205525
BLJUN00362,2026-06-04,UPI/SETTLE/PRJUN22114140/M1001,CR,22291.06,UTR3637688758
BLJUN00316,2026-06-09,UPI/SETTLE/PRJUN89682313/M1022,CR,49467.34,UTR4509456565
BLJUN00370,2026-06-09,UPI/SETTLE/PRJUN38143348/M1001,CR,65928.43,UTR5501759051
BLJUN00484,2026-06-21,NET SETTLEMENT M1014 2026-06-19 1/2,CR,48705.46,UTR1466305100
BLJUN00336,2026-06-04,UPI/SETTLE/PRJUN46407626/M1012,CR,54403.03,UTR2721959126
BLJUN00429,2026-06-08,UPI/SETTLE/PRJUN17871385/M1012,CR,10076.82,UTR7920580262
BLJUN00378,2026-06-07,UPI/SETTLE/PRJUN37776759/M1020,CR,60718.56,UTR8665986525
BLJUN00410,2026-06-10,UPI/SETTLE/PRJUN70673557/M1032,CR,20088.98,UTR4349011298
BLJUN00474,2026-06-21,PART SETTLEMENT PRJUN62478133-P2,CR,34140.59,UTR1529290976
BLJUN00365,2026-06-13,UPI/SETTLE/PRJUN50502233/M1021,CR,13178.80,UTR8675071314
BLJUN00298,2026-06-06,UPI/SETTLE/PRJUN48766747/M1023,CR,17977.59,UTR5088130061
BLJUN00269,2026-06-01,SETTLEMENT PRMAY30456313 PREV CYCLE,CR,31504.74,UTR9344950649
BLJUN00305,2026-06-22,UPI/SETTLE/PRJUN91907952/M1004,CR,40818.83,UTR7743417981
BLJUN00446,2026-06-14,SETTLE/PRJUN467214/PAYOUT,CR,91550.49,UTR8991678061
BLJUN00304,2026-06-04,UPI/SETTLE/PRJUN56785209/M1038,CR,41851.87,UTR8254773516
BLJUN00424,2026-06-04,UPI/SETTLE/PRJUN78679929/M1030,CR,68807.65,UTR6566372886
BLJUN00443,2026-06-23,SETTLE/NEFTPRJUN71389561/PAYOUT,CR,56087.71,UTR7808041613
BLJUN00309,2026-06-05,UPI/SETTLE/PRJUN70665302/M1024,CR,60286.23,UTR7391102387
BLJUN00358,2026-06-04,UPI/SETTLE/PRJUN47706144/M1038,CR,76869.96,UTR5293274004
BLJUN00322,2026-06-21,UPI/SETTLE/PRJUN79491111/M1016,CR,48527.26,UTR7420493866
BLJUN00489,2026-06-23,UPI/SETTLE/PRJUN10954835,CR,49760.72,UTR3811254192
BLJUN00256,2026-06-04,SETTLEMENT PRMAY29374563 PREV CYCLE,CR,86921.73,UTR4989487508
BLJUN00448,2026-06-27,SETTLE/prjun25489430/PAYOUT,CR,33624.53,UTR9644783539
BLJUN00357,2026-06-20,UPI/SETTLE/PRJUN56175477/M1002,CR,47851.76,UTR1940684569
BLJUN00261,2026-06-04,SETTLEMENT PRMAY85007641 PREV CYCLE,CR,45672.60,UTR2401777036
BLJUN00310,2026-06-03,UPI/SETTLE/PRJUN88108751/M1005,CR,82579.01,UTR2708176663
BLJUN00302,2026-06-19,UPI/SETTLE/PRJUN83782999/M1035,CR,10976.74,UTR8382963909
